Name,Party Affiliation,Bundesland
"Auer Katrin, Mag.",SPÖ,Oberösterreich
"Auinger-Oberzaucher Gertraud, Mag.",NEOS,Niederösterreich
Baumann Roland,SPÖ,Oberösterreich
Baumgartner Angela,ÖVP,Niederösterreich
"Bayr Petra, MA MLS",SPÖ,Wien
"Belakowitsch Dagmar, Dr.",FPÖ,Bundeswahlvorschlag
Berger Ricarda,FPÖ,Wien
Berger Tina Angela,FPÖ,Kärnten
Bernhard Michael,NEOS,Bundeswahlvorschlag
Binder Reinhold,SPÖ,Bundeswahlvorschlag
"Bogner-Strauß Juliane, Mag. Dr.",ÖVP,Bundeswahlvorschlag
Brandstötter Henrike,NEOS,Bundeswahlvorschlag
Brandweiner Lukas,ÖVP,Niederösterreich
"Brückl Hermann, MA",FPÖ,Oberösterreich
Bures Doris,SPÖ,Wien
"Darmann Gernot, Mag.",FPÖ,Kärnten
"Deckenbacher Romana, Mag.",ÖVP,Wien
"Deimek Gerhard, Dipl.-Ing.",FPÖ,Oberösterreich
"Della Rossa Antonio, Mag.",SPÖ,Vorarlberg
Dengler Veit Valentin,NEOS,Steiermark
Diesner-Wais Martina,ÖVP,Niederösterreich
"Disoski Meri, Mag.",GRÜNE,Wien
"Doppelbauer Karin, Dipl.-Ing.",NEOS,Oberösterreich
"Duzdar Muna, Mag.",SPÖ,Bundeswahlvorschlag
"Ecker Rosa, MBA",FPÖ,Oberösterreich
"Eder Heike, BSc MBA",ÖVP,Vorarlberg
"Egger Kurt, Mag. (FH)",ÖVP,Steiermark
Eisenhut Irene,FPÖ,Niederösterreich
"Elian Thomas, Ing.",ÖVP,Niederösterreich
"Erasim Melanie, MSc",SPÖ,Niederösterreich
Falkner Margreth,ÖVP,Tirol
"Feichtinger Elisabeth, BEd BEd",SPÖ,Oberösterreich
"Fiedler Fiona, BEd",NEOS,Steiermark
"Fuchs Hubert, MMag. DDr.",FPÖ,Wien
"Fürlinger Klaus, Mag.",ÖVP,Oberösterreich
"Fürst Susanne, Dr.",FPÖ,Oberösterreich
Fürtbauer Michael,FPÖ,Oberösterreich
"Gasser Johannes, BA Bakk. MSc",NEOS,Vorarlberg
"Gerstl Wolfgang, Mag.",ÖVP,Wien
"Gewessler Leonore, BA",GRÜNE,Bundeswahlvorschlag
"Giuliani-Sterrer Marie-Christine, Mag., BA",FPÖ,Bundeswahlvorschlag
Gmeinbauer Daniela,ÖVP,Steiermark
Gmeindl Michael,FPÖ,Burgenland
"Gödl Ernst, Mag.",ÖVP,Steiermark
"Götze Elisabeth, Dr.",GRÜNE,Niederösterreich
"Graf Martin, Mag. Dr.",FPÖ,Wien
Graf Tanja,ÖVP,Salzburg
"Greiner Karin, Mag.",SPÖ,Steiermark
Grünberg Kira,ÖVP,Bundeswahlvorschlag
"Grüner Jakob, MMag., LL.M.",ÖVP,Tirol
"Hafenecker Christian, MA",FPÖ,Niederösterreich
Haitzer Andreas,SPÖ,Salzburg
"Hammer Lukas, Mag.",GRÜNE,Wien
"Hammer Michael, Mag.",ÖVP,Oberösterreich
"Hammerl Paul, Mag., MA",FPÖ,Oberösterreich
