"Name","Canton","Party","Sex","Status","Canton no."
"Balmer Bettina","ZH","FDP","F","-","1"
"Portmann Hans-Peter","ZH","FDP","M","incumbent","1"
"Sauter Regine","ZH","FDP","F","incumbent","1"
"Silberschmidt Andri","ZH","FDP","M","incumbent","1"
"Walti Beat","ZH","FDP","M","incumbent","1"
"Barandun Nicole","ZH","Centre","F","-","1"
"Bürgin Yvonne","ZH","Centre","F","-","1"
"Kutter Philipp","ZH","Centre","M","incumbent","1"
"Alijaj Islam","ZH","SP","M","-","1"
"Rosenwasser Anna","ZH","SP","F","-","1"
"Badran Jacqueline","ZH","SP","F","incumbent","1"
"Marti Min Li","ZH","SP","F","incumbent","1"
"Meyer Mattea","ZH","SP","F","incumbent","1"
"Molina Fabian","ZH","SP","M","incumbent","1"
"Seiler Graf Priska","ZH","SP","F","incumbent","1"
"Widmer Céline","ZH","SP","F","incumbent","1"
"Fehr Düsel Nina","ZH","SVP","F","-","1"
"Hübscher Martin","ZH","SVP","M","-","1"
"Fischer 'Benjamin 'Beni''","ZH","SVP","M","incumbent","1"
"Haab Martin","ZH","SVP","M","incumbent","1"
"Heer 'Alfred 'Fredi''","ZH","SVP","M","incumbent","1"
"Matter 'Thomas 'Tommy''","ZH","SVP","M","incumbent","1"
"Rutz Gregor","ZH","SVP","M","incumbent","1"
"Steinemann Barbara","ZH","SVP","F","incumbent","1"
"Tuena Mauro","ZH","SVP","M","incumbent","1"
"Walliser Bruno","ZH","SVP","M","incumbent","1"
"Gugger Nik","ZH","EVP","M","incumbent","1"
"Bäumle Martin","ZH","GLP","M","incumbent","1"
"Gredig Corina","ZH","GLP","F","incumbent","1"
"Moser Tiana Angelina","ZH","GLP","F","incumbent","1"
"Schaffner Barbara","ZH","GLP","F","incumbent","1"
"Girod Bastien","ZH","GREENS","M","incumbent","1"
"Glättli Balthasar","ZH","GREENS","M","incumbent","1"
"Prelicz-Huber Katharina","ZH","GREENS","F","incumbent","1"
"Schlatter Marionna","ZH","GREENS","F","incumbent","1"
"Vontobel Erich","ZH","EDU","M","-","1"
"Wasserfallen Christian","BE","FDP","M","incumbent","2"
"Nause Reto","BE","Centre","M","-","2"
"Hess Lorenz","BE","Centre","M","incumbent","2"
"Zybach Ursula","BE","SP","F","-","2"
"Aebischer Matthias","BE","SP","M","incumbent","2"
"Funiciello Tamara","BE","SP","F","incumbent","2"
"Masshardt Nadine","BE","SP","F","incumbent","2"
"Wasserfallen Flavia","BE","SP","F","incumbent","2"
"Knutti Thomas","BE","SVP","M","-","2"
"Riem Katja","BE","SVP","F","-","2"
"Salzmann Werner","BE","SVP","M","-","2"
"Wandfluh Ernst","BE","SVP","M","-","2"
"Bühler Manfred","BE","SVP","M","incumbent","2"
"Guggisberg Lars","BE","SVP","M","incumbent","2"
"Hess Erich","BE","SVP","M","incumbent","2"
"Umbricht Pieren Nadja","BE","SVP","F","incumbent","2"
"Jost Marc","BE","EVP","M","incumbent","2"
"Bertschy Kathrin","BE","GLP","F","incumbent","2"
"Grossen Jürg","BE","GLP","M","incumbent","2"
"Mettler Melanie","BE","GLP","F","incumbent","2"
"Badertscher Christine","BE","GREENS","F","incumbent","2"
"Baumann Kilian","BE","GREENS","M","incumbent","2"
"Trede Aline","BE","GREENS","F","incumbent","2"
"Gafner Andreas","BE","EDU","M","incumbent","2"
"Schilliger Peter","LU","FDP","M","incumbent","3"
"Kaufmann Pius","LU","Centre","M","-","3"
"Müller Leo","LU","Centre","M","incumbent","3"
"Wismer-Felder Priska","LU","Centre","F","incumbent","3"
"Candan Hasan","LU","SP","M","-","3"
"Roth David","LU","SP","M","-","3"
"Thalmann-Bieri Vroni","LU","SVP","F","-","3"
"Grüter Franz","LU","SVP","M","incumbent","3"
"Töngi Michael","LU","GREENS","M","incumbent","3"
"Stadler Simon","UR","Centre","M","incumbent","4"
"Gössi Petra","SZ","FDP","F","incumbent","5"
"Blunschy Dominik","SZ","Centre","M","-","5"
"Bürgi Roman","SZ","SVP","M","-","5"
"Dettling Marcel","SZ","SVP","M","incumbent","5"
"Rüegger Monika","OW","SVP","F","incumbent","6"
"Durrer-Knobel Regina","NW","Centre","F","-","7"
"Schnyder Markus","GL","SVP","M","-","8"
"Pfister Gerhard","ZG","Centre","M","incumbent","9"
"Aeschi Thomas","ZG","SVP","M","incumbent","9"
"Weichelt Manuela","ZG","GREENS","F","incumbent","9"
"Gobet Nadine","FR","FDP","F","-","10"
"Bulliard-Marbach Christine","FR","Centre","F","incumbent","10"
"Roth Pasquier Marie-France","FR","Centre","F","incumbent","10"
"Piller Carrard Valérie","FR","SP","F","incumbent","10"
"Kolly Nicolas","FR","SVP","M","-","10"
"Page Pierre-André","FR","SVP","M","incumbent","10"
"Andrey Gerhard","FR","GREENS","M","incumbent","10"
"Michel Simon","SO","FDP","M","-","11"
"Müller-Altermatt Stefan","SO","Centre","M","incumbent","11"
"Roth Franziska","SO","SP","F","incumbent","11"
"Wyssmann Rémy","SO","SVP","M","-","11"
"Imark Christian","SO","SVP","M","incumbent","11"
"Wettstein Felix","SO","GREENS","M","incumbent","11"
"Wyss Sarah","BS","SP","F","incumbent","12"
"von Falkenstein Patricia","BS","LPS","F","incumbent","12"
"Christ Katja","BS","GLP","F","incumbent","12"
"Arslan Sibel","BS","GREENS","F","incumbent","12"
"Schneeberger Daniela","BL","FDP","F","incumbent","13"
"Schneider-Schneiter Elisabeth","BL","Centre","F","incumbent","13"
"Marti Samira","BL","SP","F","incumbent","13"
"Nussbaumer Eric","BL","SP","M","incumbent","13"
"de Courten Thomas","BL","SVP","M","incumbent","13"
"Sollberger Sandra","BL","SVP","F","incumbent","13"
"Brenzikofer Florence","BL","GREENS","F","incumbent","13"
"Munz Martina","SH","SP","F","incumbent","14"
"Hurter Thomas","SH","SVP","M","incumbent","14"
"Zuberbühler David","AR","SVP","M","incumbent","15"
"Rechsteiner Thomas","AI","Centre","M","incumbent","16"
"Dobler Marcel","SG","FDP","M","incumbent","17"
"Vincenz-Stauffacher Susanne","SG","FDP","F","incumbent","17"
"Paganini Nicolò","SG","Centre","M","incumbent","17"
"Ritter Markus","SG","Centre","M","incumbent","17"
"Friedl Claudia","SG","SP","F","incumbent","17"
"Gysi Barbara","SG","SP","F","incumbent","17"
"Gartmann Walter","SG","SVP","M","-","17"
"Büchel Roland Rino","SG","SVP","M","incumbent","17"
"Egger Mike","SG","SVP","M","incumbent","17"
"Götte Michael","SG","SVP","M","incumbent","17"
"Reimann Lukas","SG","SVP","M","incumbent","17"
"Ryser Franziska","SG","GREENS","F","incumbent","17"
"Giacometti Anna","GR","FDP","F","incumbent","18"
"Candinas Martin","GR","Centre","M","incumbent","18"
"Pult Jon","GR","SP","M","incumbent","18"
"Hug Roman","GR","SVP","M","-","18"
"Martullo-Blocher Magdalena","GR","SVP","F","incumbent","18"
"Jauslin Matthias Samuel","AG","FDP","M","incumbent","19"
"Riniker Maja","AG","FDP","F","incumbent","19"
"Binder-Keller Marianne","AG","Centre","F","incumbent","19"
"Meier Andreas","AG","Centre","M","incumbent","19"
"Brizzi Simona","AG","SP","F","-","19"
"Suter Gabriela","AG","SP","F","incumbent","19"
"Wermuth Cédric","AG","SP","M","incumbent","19"
"Riner Christoph","AG","SVP","M","-","19"
"Bircher Martina","AG","SVP","F","incumbent","19"
"Burgherr Thomas","AG","SVP","M","incumbent","19"
"Giezendanner Benjamin","AG","SVP","M","incumbent","19"
"Glarner Andreas","AG","SVP","M","incumbent","19"
"Heimgartner Stefanie","AG","SVP","F","incumbent","19"
"Huber Alois","AG","SVP","M","incumbent","19"
"Flach Beat","AG","GLP","M","incumbent","19"
"Kälin Irène","AG","GREENS","F","incumbent","19"
"Vietze Kristiane (Kris)","TG","FDP","F","-","20"
"Lohr Christian","TG","Centre","M","incumbent","20"
"Schläfli Nina","TG","SP","F","-","20"
"Schmid Pascal","TG","SVP","M","-","20"
"Gutjahr Diana","TG","SVP","F","incumbent","20"
"Strupler Manuel","TG","SVP","M","incumbent","20"
"Gianini Simone","TI","FDP","M","-","21"
"Farinelli Alex","TI","FDP","M","incumbent","21"
"Regazzi Fabio","TI","Centre","M","incumbent","21"
"Storni Bruno","TI","SP","M","incumbent","21"
"Pamini Paolo","TI","SVP","M","-","21"
"Marchesi Piero","TI","SVP","M","incumbent","21"
"Gysin Greta","TI","GREENS","F","incumbent","21"
"Quadri Lorenzo","TI","Lega","M","incumbent","21"
"Broulis Pascal","VD","FDP","M","-","22"
"de Quattro Jacqueline","VD","FDP","F","incumbent","22"
"Feller Olivier","VD","FDP","M","incumbent","22"
"Wehrli Laurent","VD","FDP","M","incumbent","22"
"Chappuis Isabelle","VD","Centre","F","-","22"
"Jaccoud Jessica","VD","SP","F","-","22"
"Tschopp Jean","VD","SP","M","-","22"
"Bendahan Samuel","VD","SP","M","incumbent","22"
"Crottaz Brigitte","VD","SP","F","incumbent","22"
"Maillard Pierre-Yves","VD","SP","M","incumbent","22"
"Nordmann Roger","VD","SP","M","incumbent","22"
"Freymond Sylvain","VD","SVP","M","-","22"
"Pahud Yvan","VD","SVP","M","-","22"
"Buffat Michaël","VD","SVP","M","incumbent","22"
"Nicolet Jacques","VD","SVP","M","incumbent","22"
"Weber Céline","VD","GLP","F","incumbent","22"
"Mahaim Raphaël","VD","GREENS","M","incumbent","22"
"Michaud Gigon Sophie","VD","GREENS","F","incumbent","22"
